date,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,observed_minutes,sub_metering_remainder,rr,nbjrr1,nbjrr5,nbjrr10,nbjbrou,day_of_week,month,day_of_year,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos
2006-12-17,3390.46,226.0059999999994,240.08702777777793,9.999027777777764,2033.0,4187.0,13341.0,1440.0,36946.666666666664,0.0,0.0,0.0,0.0,0.0,6,12,351,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.25467112024122895,0.9670277247913203
2006-12-18,2203.8259999999964,161.79199999999966,241.23169444444474,6.421666666666658,1063.0,2621.0,14018.0,1440.0,19028.43333333327,0.0,0.0,0.0,0.0,0.0,0,12,352,0.0,1.0,-2.4492935982947064e-16,1.0,-0.23803327706148678,0.9712569994658311
2006-12-19,1666.1940000000006,150.94199999999978,241.99931250000026,4.926388888888899,839.0,7602.0,6197.0,1440.0,13131.900000000012,0.0,0.0,0.0,0.0,0.0,1,12,353,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.22132528438243296,0.9752000402445824
2006-12-20,2225.747999999999,160.99799999999985,242.30806250000026,6.4673611111111065,0.0,2648.0,14063.0,1440.0,20384.79999999998,0.0,0.0,0.0,0.0,0.0,2,12,354,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.2045520661262005,0.9788556850953579
2006-12-21,1716.6239999999993,144.16599999999997,241.04054937413034,5.033796940194716,1765.0,2623.0,10421.0,1438.0,13801.399999999987,0.0,0.0,0.0,0.0,0.0,3,12,355,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.1877185654371994,0.9822228566828405
2006-12-22,2341.3379999999993,186.90600000000023,241.18454861111076,6.872916666666655,3151.0,350.0,11131.0,1440.0,24390.29999999998,0.0,0.0,0.0,0.0,0.0,4,12,356,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.17082974322534408,0.985300562686109
2006-12-23,4773.385999999998,221.4700000000001,240.13607638888902,14.028055555555559,2669.0,425.0,14726.0,1440.0,61736.433333333305,0.0,0.0,0.0,0.0,0.0,5,12,357,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.1538905767040627,0.9880878960910771
2006-12-24,2550.012000000007,149.89999999999992,241.6874375000003,7.640416666666739,1703.0,5082.0,6891.0,1440.0,28824.200000000114,0.0,0.0,0.0,0.0,0.0,6,12,358,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.1369060579234754,0.9905840354577969
2006-12-25,2743.1200000000053,240.27999999999986,243.3999305555553,7.951527777777767,6620.0,1962.0,5795.0,1440.0,31341.66666666675,0.0,0.0,0.0,0.0,0.0,0,12,359,0.0,1.0,-2.4492935982947064e-16,1.0,-0.1198811922992275,0.99278824516254
2006-12-26,3934.11,165.1019999999998,241.6254375,11.347916666666674,1086.0,2533.0,14979.0,1440.0,46970.5,0.0,0.0,0.0,0.0,0.0,1,12,360,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.1028209971373608,0.9946998756145891
2006-12-27,1528.7600000000004,178.90200000000007,243.7673611111116,4.517499999999999,0.0,314.0,6976.0,1440.0,18189.33333333334,0.0,0.0,0.0,0.0,0.0,2,12,361,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.08573050015569487,0.9963183634476755
2006-12-28,2072.638,208.8759999999999,243.26833333333332,6.086250000000001,2207.0,4419.0,9176.0,1440.0,18741.966666666667,0.0,0.0,0.0,0.0,0.0,3,12,362,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.06861473800213468,0.9976432316860063
2006-12-29,3174.3919999999966,196.39400000000023,240.87130555555564,9.271388888888861,1252.0,5162.0,11329.0,1440.0,35163.53333333328,0.0,0.0,0.0,0.0,0.0,4,12,363,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.05147875477034641,0.9986740898848305
2006-12-30,2789.3020000000015,311.9279999999997,240.5406884561889,8.292211404728766,3072.0,7891.0,12480.0,1438.0,23045.36666666669,0.0,0.0,0.0,0.0,0.0,5,12,364,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.034327600513243496,0.9994106342455052
2006-12-31,3494.1959999999995,150.85200000000012,239.8965763888888,10.199583333333335,0.0,347.0,6502.0,1440.0,51387.59999999999,0.0,0.0,0.0,0.0,0.0,6,12,365,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.017166329754707492,0.9998526477050269
2007-01-01,2749.004000000016,148.16599999999983,240.12897916666685,7.9169444444444705,0.0,352.0,5880.0,1440.0,39584.7333333336,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269
2007-01-02,1269.2360000000006,190.34200000000055,241.94377777777765,3.7140277777777784,0.0,348.0,6562.0,1440.0,14243.933333333342,0.0,0.0,0.0,0.0,0.0,1,1,2,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052
2007-01-03,1014.0540000000005,196.7280000000004,243.557090277778,3.01402777777777,0.0,344.0,4765.0,1440.0,11791.900000000009,0.0,0.0,0.0,0.0,0.0,2,1,3,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305
2007-01-04,3259.4119999999907,202.30199999999982,239.75029861111113,9.478194444444444,1051.0,7597.0,10896.0,1440.0,34779.53333333318,0.0,0.0,0.0,0.0,0.0,3,1,4,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
2007-01-05,2713.3639999999928,173.15399999999977,240.49576388888877,7.8851388888888945,1483.0,379.0,7602.0,1440.0,35758.733333333206,0.0,0.0,0.0,0.0,0.0,4,1,5,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.08573050015569435,0.9963183634476755
2007-01-06,1508.3779999999997,192.18799999999942,239.6730555555553,4.543888888888884,1336.0,402.0,5678.0,1440.0,17723.633333333328,0.0,0.0,0.0,0.0,0.0,5,1,6,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.1028209971373604,0.9946998756145891
2007-01-07,2447.620000000002,246.07400000000024,240.90248611111122,7.282638888888898,1987.0,8177.0,12810.0,1440.0,17819.666666666708,0.0,0.0,0.0,0.0,0.0,6,1,7,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.11988119229922722,0.99278824516254
2007-01-08,2241.3599999999974,207.5680000000003,239.576951388889,6.551666666666682,0.0,467.0,17547.0,1440.0,19341.999999999956,0.0,0.0,0.0,0.0,0.0,0,1,8,0.0,1.0,0.49999999999999994,0.8660254037844387,0.13690605792347524,0.990584035457797
2007-01-09,1869.053999999999,207.24800000000027,240.48752083333315,5.5211111111111055,1688.0,4267.0,9790.0,1440.0,15405.89999999998,0.0,0.0,0.0,0.0,0.0,1,1,9,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.15389057670406178,0.9880878960910772
2007-01-10,2154.799999999996,228.45199999999937,241.02745138888903,6.357777777777788,771.0,4456.0,11012.0,1440.0,19674.33333333327,0.0,0.0,0.0,0.0,0.0,2,1,10,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.17082974322534417,0.985300562686109
2007-01-11,2255.1940000000004,230.01999999999998,241.1556874999998,6.658333333333322,1378.0,2170.0,12415.0,1440.0,21623.566666666673,0.0,0.0,0.0,0.0,0.0,3,1,11,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.1877185654371987,0.9822228566828407
2007-01-12,1461.2960000000023,199.14000000000007,241.53820833333376,4.309166666666666,0.0,439.0,8276.0,1440.0,15639.93333333337,0.0,0.0,0.0,0.0,0.0,4,1,12,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.2045520661262008,0.9788556850953578
2007-01-13,3186.813999999998,290.7359999999997,239.28361111111101,9.45305555555556,7806.0,2975.0,11341.0,1440.0,30991.566666666637,0.0,0.0,0.0,0.0,0.0,5,1,13,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.22132528438243257,0.9752000402445825
2007-01-14,3007.815999999998,227.1200000000001,238.8218485059069,8.96831132731064,1777.0,4215.0,12975.0,1439.0,31163.266666666634,0.0,0.0,0.0,0.0,0.0,6,1,14,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.2380332770614856,0.9712569994658314
2007-01-15,2148.677999999998,174.86000000000035,241.24090972222228,6.261527777777779,1099.0,2239.0,15163.0,1440.0,17310.299999999967,0.0,0.0,0.0,0.0,0.0,0,1,15,0.0,1.0,0.49999999999999994,0.8660254037844387,0.2546711202412287,0.9670277247913204
2007-01-16,1686.4039999999998,185.42799999999988,241.9447569444445,4.975972222222223,2063.0,644.0,6583.0,1440.0,18816.73333333333,0.0,0.0,0.0,0.0,0.0,1,1,16,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.27123391067291003,0.9625134626077081
2007-01-17,2847.687999999999,200.75199999999992,241.0052499999998,8.283888888888871,3500.0,5737.0,16064.0,1440.0,22160.466666666653,0.0,0.0,0.0,0.0,0.0,2,1,17,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.287716767226167,0.9577155432887803
2007-01-18,1821.4620000000011,177.71199999999988,240.8935972222225,5.342499999999978,0.0,336.0,13491.0,1440.0,16530.70000000002,0.0,0.0,0.0,0.0,0.0,3,1,18,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.30411483232751785,0.9526353808033826
